Date,Open,High,Low,Close,Adj Close,Volume,SMA,MACD,FASTK,FASTD,SLOWD,WILLER,ROC,RSI,CCI,ADX,OBV,CS
2003-04-21,1598.504028,1598.583008,1557.120972,1571.713989,1571.713989,21600.0,1583.4442015000002,31.52242954931853,15.77929577797565,37.38045627201222,54.70076886537742,-55.93104901137724,3.734462249393067,54.006344597571484,-11.251345740462401,50.44135755595751,95200.0,-1
2003-04-22,1570.573975,1575.796021,1563.588989,1568.692017,1568.692017,11200.0,1588.2583007,28.785534714186724,12.511665100867534,20.08984828325933,36.52649505126839,-58.10108562221598,3.1660227909813266,52.9213878639659,-42.18107616847594,47.89501379646118,84000.0,0
2003-04-23,1568.133057,1569.785034,1540.067017,1541.959961,1541.959961,15600.0,1588.0869018,24.18073190359428,2.3323036682184037,10.207754849020544,22.559353134763985,-98.27185233422328,-0.11103309737138245,44.19490470543364,-100.33751530550552,43.44696210446262,68400.0,-1
2003-04-24,1538.579956,1542.105957,1492.904053,1503.589966,1503.589966,19600.0,1583.3278930000001,17.23656221548231,8.354767651480499,7.7329121401888266,12.676838424156188,-93.18061074222476,-3.067992518165785,34.992524441442654,-166.24909374729324,41.63221171259111,48800.0,-1
2003-04-25,1501.56897,1513.332031,1481.067993,1487.146973,1487.146973,12000.0,1574.3565918,10.287853619776342,5.172938964437857,5.286670094712267,7.742445694640501,-96.39304668250757,-5.689345462082995,31.836106242129596,-152.85652049157824,40.53573609116332,36800.0,-1
2003-04-28,1483.465942,1538.593994,1473.265991,1537.69104,1537.69104,23800.0,1566.5184937,8.758473556248646,62.83529713197184,25.454334582630082,12.824638939177014,-63.46482255718538,-4.8500920739596225,47.890190911962094,-86.61578200660756,37.64636805932345,60600.0,1
2003-04-29,1535.880005,1535.880005,1508.319946,1509.312988,1509.312988,18600.0,1554.3027954,5.196653420365237,37.347031093128344,35.1184223965127,21.953142357951638,-79.55789786553977,-7.487541001145404,41.75522846086857,-67.51941323484776,35.045936830667564,42000.0,-1
2003-04-30,1511.154053,1539.572998,1510.600952,1521.44397,1521.44397,18800.0,1545.8231934,3.3145461410219923,69.98547762211278,56.722601949071,39.09845297607122,-67.43917414009402,-5.279162549053462,45.09595227363181,-45.80578915983414,32.41968732118336,60800.0,1
2003-05-12,1522.980957,1536.892944,1511.870972,1531.866943,1531.866943,15400.0,1537.6494873,2.6336502937758723,88.37821921294065,65.23690930939394,52.35931121832584,-60.28132268556604,-5.065496912339096,47.946241084618876,-28.920776406724404,30.056062762647578,76200.0,1
2003-05-13,1533.079956,1534.802979,1481.744995,1485.307007,1485.307007,22600.0,1525.8724854,-1.6440111511467421,18.15949255559085,58.84106313021477,60.266858129559864,-90.3915555219447,-7.346497834471477,38.12308950264139,-86.00376250040223,29.79880377837203,53600.0,-1
2003-05-14,1480.110962,1523.323975,1477.251953,1522.92395,1522.92395,18200.0,1520.9934815000001,-1.9759383555601744,73.28503076288281,59.94091417713812,61.33962887224891,-51.567400302135816,-3.1042568394420544,47.7354885361026,-57.25154853163276,29.80553201784328,71800.0,1
2003-05-15,1524.499023,1555.557007,1516.425049,1555.285034,1555.285034,22800.0,1519.6527832000002,0.3680335082817692,99.65267503678612,63.69906611841994,60.82701447525758,-15.022942156606337,-0.8546599877291339,54.492886699000785,115.82748952983593,27.116296194259398,94600.0,1
2003-05-16,1555.906982,1560.723999,1543.166992,1554.452026,1554.452026,16000.0,1520.9019897000003,2.133833806069333,92.48613961133753,88.47461513700216,70.70486514418671,-7.171410764352318,0.8101419826685108,54.292119383658935,163.4791558261457,24.480217731439673,78600.0,0
2003-05-19,1557.293945,1563.107056,1546.751953,1555.447021,1555.447021,13400.0,1526.0876952000003,3.5723512039819525,91.07795025299767,94.40558830037378,82.19308985193193,-8.526206807544078,3.4488827521212517,54.51452978928,127.05207986296226,22.28579543470667,92000.0,0
