Date,Open,High,Low,Close,Adj Close,Volume,MA7,MA21,20SD,upper_band,lower_band,EMA,CS
2003-04-01,1513.000977,1525.234985,1508.843994,1522.546021,1522.546021,13400.0,1488.6927315714286,1485.3425758095239,22.048096640461864,1529.4387690904475,1441.2463825286002,1516.2718916108274,0
2003-04-02,1522.490967,1525.769043,1516.787964,1521.319946,1521.319946,9800.0,1494.914725142857,1485.1443336190478,21.764543446835987,1528.6734205127198,1441.6152467253758,1519.6372612037164,0
2003-04-03,1521.355957,1522.671021,1510.511963,1511.729004,1511.729004,8200.0,1501.9617222857144,1484.5455264285715,21.34665326870546,1527.2388329659825,1441.8522198911605,1514.365089734516,-1
2003-04-04,1510.222046,1521.782959,1509.609985,1521.128052,1521.128052,9000.0,1511.227016,1484.7335786666667,22.773738803218883,1530.2810562731045,1439.186101060229,1518.8737312448545,0
2003-04-07,1521.897949,1530.370972,1512.5,1515.131958,1515.131958,11800.0,1513.4820034285715,1485.533052,23.746589406599632,1533.0262308131992,1438.0398731868008,1516.3792157482817,-1
2003-04-08,1515.64502,1523.947021,1513.234985,1520.551025,1520.551025,15000.0,1517.569144142857,1486.8405761428571,24.676943889476274,1536.1944639218098,1437.4866883639045,1519.1604219160952,0
2003-04-09,1519.984985,1545.33606,1510.343994,1543.67395,1543.67395,28800.0,1522.2971365714288,1490.4003382857143,27.435371699748707,1545.2710816852116,1435.529594886217,1535.5027739720342,1
2003-04-10,1546.506958,1559.869019,1541.28894,1551.180054,1551.180054,31600.0,1526.3877127142857,1494.0275762380952,29.757587239751423,1553.542750717598,1434.5124017585924,1545.9542939906783,0
2003-04-11,1552.004028,1581.698975,1548.529053,1576.859985,1576.859985,29400.0,1534.322004,1499.3709541904761,33.99947316946713,1567.3699005294104,1431.3720078515419,1566.5580879968932,1
2003-04-14,1581.380005,1616.654053,1581.203979,1616.072021,1616.072021,36600.0,1549.2281492857144,1506.5151482857143,41.74478762866892,1590.004723543052,1423.0255730283766,1599.5673766656312,1
2003-04-15,1619.949951,1632.092041,1606.725952,1631.469971,1631.469971,32200.0,1564.9912805714287,1514.2387636666667,48.362109707239924,1610.9629830811466,1417.5145442521869,1620.8357728885437,1
2003-04-16,1633.530029,1649.603027,1598.828003,1606.23999,1606.23999,39000.0,1578.0067137142858,1521.207717095238,50.924785676859614,1623.0572884489573,1419.3581457415187,1611.105250962848,-1
2003-04-17,1606.233032,1621.229004,1595.626953,1613.604004,1613.604004,28400.0,1591.2999964285714,1528.0479096190477,52.67790287075948,1633.4037153605666,1422.6921038775288,1612.7710863209495,0
2003-04-18,1616.905029,1620.80603,1596.667969,1603.077026,1603.077026,24400.0,1599.7861501428572,1534.6449089999999,53.2436756710295,1641.1322603420588,1428.157557657941,1606.3083794403165,-1
2003-04-21,1598.504028,1598.583008,1557.120972,1571.713989,1571.713989,21600.0,1602.7195694285715,1539.2666712380953,51.80779786788709,1642.8822669738695,1435.6510755023212,1583.2454524801058,-1
2003-04-22,1570.573975,1575.796021,1563.588989,1568.692017,1568.692017,11200.0,1601.5527168571427,1543.5964820000002,48.52328666024131,1640.6430553204827,1446.5499086795176,1573.5431621600353,0
2003-04-23,1568.133057,1569.785034,1540.067017,1541.959961,1541.959961,15600.0,1590.9652797142858,1547.3850504285715,43.55862433963487,1634.5022991078413,1460.2678017493017,1552.4876947200119,-1
2003-04-24,1538.579956,1542.105957,1492.904053,1503.589966,1503.589966,19600.0,1572.6967075714285,1549.6383347142857,43.29854853566142,1636.2354317856086,1463.0412376429629,1519.8892089066705,-1
2003-04-25,1501.56897,1513.332031,1481.067993,1487.146973,1487.146973,12000.0,1555.6834194285714,1549.057378857143,43.66118057750309,1636.379740012149,1461.735017702137,1498.0610516355566,-1
2003-04-28,1483.465942,1538.593994,1473.265991,1537.69104,1537.69104,23800.0,1544.8387102857143,1551.2359502857141,42.72099866516,1636.677947616034,1465.7939529553942,1524.481043878519,1
2003-04-29,1535.880005,1535.880005,1508.319946,1509.312988,1509.312988,18600.0,1531.4438477142855,1551.1757114761906,43.320142801259685,1637.8159970787099,1464.5354258736713,1514.3690066261727,-1
2003-04-30,1511.154053,1539.572998,1510.600952,1521.44397,1521.44397,18800.0,1524.2624164285714,1551.1232328571427,43.31543698764122,1637.7541068324251,1464.4923588818604,1519.085648875391,1
2003-05-12,1522.980957,1536.892944,1511.870972,1531.866943,1531.866943,15400.0,1519.0016915714284,1551.625470809524,42.54218925920735,1636.7098493279386,1466.5410922911092,1527.6065116251302,1
